song,artist,date,rank
Team,Lorde,2014-01-18,14
Drunk In Love,Beyonce Featuring Jay Z,2014-01-18,15
"Hold On, We're Going Home",Drake Featuring Majid Jordan,2014-01-18,16
Do What U Want,Lady Gaga Featuring R. Kelly,2014-01-18,17
Pompeii,Bastille,2014-01-18,18
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2014-01-18,19
Sweater Weather,The Neighbourhood,2014-01-18,20
White Walls,Macklemore &amp; Ryan Lewis Featuring ScHoolboy Q &amp; Hollis,2014-01-18,21
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa &amp; Juicy J",2014-01-18,22
Stay The Night,Zedd Featuring Hayley Williams,2014-01-18,23
Radioactive,Imagine Dragons,2014-01-18,24
My Hitta,YG Featuring Jeezy &amp; Rich Homie Quan,2014-01-18,25
Applause,Lady Gaga,2014-01-18,26
Let It Go,Idina Menzel,2014-01-18,27
Safe And Sound,Capital Cities,2014-01-18,28
Unconditionally,Katy Perry,2014-01-18,29
Brave,Sara Bareilles,2014-01-18,30
Show Me,Kid Ink Featuring Chris Brown,2014-01-18,31
Adore You,Miley Cyrus,2014-01-18,32
Holy Grail,Jay Z Featuring Justin Timberlake,2014-01-18,33
Stay,Florida Georgia Line,2014-01-18,34
Sail,AWOLNATION,2014-01-18,35
Drink A Beer,Luke Bryan,2014-01-18,36
Turn Down For What,DJ Snake &amp; Lil Jon,2014-01-18,37
Let It Go,Demi Lovato,2014-01-18,38
Gas Pedal,Sage The Gemini Featuring IamSu!,2014-01-18,39
Best Day Of My Life,American Authors,2014-01-18,40
Love More,Chris Brown Featuring Nicki Minaj,2014-01-18,41
Replay,Zendaya,2014-01-18,42
Whatever She's Got,David Nail,2014-01-18,43
All Me,Drake Featuring 2 Chainz &amp; Big Sean,2014-01-18,44
That's My Kind Of Night,Luke Bryan,2014-01-18,45
Rap God,Eminem,2014-01-18,46
It Won't Stop,Sevyn Streeter Featuring Chris Brown,2014-01-18,47
Chillin' It,Cole Swindell,2014-01-18,48
Talk Dirty,Jason Derulo Featuring 2 Chainz,2014-01-18,49
Wasting All These Tears,Cassadee Pope,2014-01-18,50
Animals,Martin Garrix,2014-01-18,51
Drunk Last Night,Eli Young Band,2014-01-18,52
Hey Brother,Avicii,2014-01-18,53
XO,Beyonce,2014-01-18,54
Marry Me,Jason Derulo,2014-01-18,55
When She Says Baby,Jason Aldean,2014-01-18,56
Sweet Annie,Zac Brown Band,2014-01-18,57
Carolina,Parmalee,2014-01-18,58
Love Me Again,John Newman,2014-01-18,59
All Of Me,John Legend,2014-01-18,60
Don't Let Me Be Lonely,The Band Perry,2014-01-18,61
Friday Night,Eric Paslay,2014-01-18,62
Compass,Lady Antebellum,2014-01-18,63
Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn &amp; Katie Lopez",2014-01-18,64
Radio,Darius Rucker,2014-01-18,65
Waiting For Superman,Daughtry,2014-01-18,66
Berzerk,Eminem,2014-01-18,67
The Language,Drake,2014-01-18,68
Up All Night,Jon Pardi,2014-01-18,69
We Were Us,Keith Urban And Miranda Lambert,2014-01-18,70
For The First Time In Forever,Kristen Bell &amp; Idina Menzel,2014-01-18,71
I Luv This Sh*t,August Alsina Featuring Trinidad James,2014-01-18,72
Helluva Life,Frankie Ballard,2014-01-18,73
TKO,Justin Timberlake,2014-01-18,74
The Fox,Ylvis,2014-01-18,75
Alone Together,Fall Out Boy,2014-01-18,76
Survival,Eminem,2014-01-18,77
Up Down (Do This All Day),T-Pain Featuring B.o.B,2014-01-18,78
The Man,Aloe Blacc,2014-01-18,79
All That Matters,Justin Bieber,2014-01-18,80
Love Don't Die,The Fray,2014-01-18,81
See You Tonight,Scotty McCreery,2014-01-18,82
I Hold On,Dierks Bentley,2014-01-18,83
Do I Wanna Know?,Arctic Monkeys,2014-01-18,84
Sunny And 75,Joe Nichols,2014-01-18,85
Work B**ch!,Britney Spears,2014-01-18,86
Paranoid,Ty Dolla $ign Featuring B.o.B,2014-01-18,87
Neon Lights,Demi Lovato,2014-01-18,88
The Heart Of Dixie,Danielle Bradbery,2014-01-18,89
Drink To That All Night,Jerrod Niemann,2014-01-18,90
Bottoms Up,Brantley Gilbert,2014-01-18,91
Perfume,Britney Spears,2014-01-18,92
Bounce It,Juicy J Featuring Wale &amp; Trey Songz,2014-01-18,93
Young Girls,Bruno Mars,2014-01-18,94
Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,2014-01-18,95
19 You + Me,Dan + Shay,2014-01-18,96
Old School Love,Lupe Fiasco Featuring Ed Sheeran,2014-01-18,97
Happy,Pharrell Williams,2014-01-18,98
Worst Behavior,Drake,2014-01-18,99
Honest,Future,2014-01-18,100
The Monster,Eminem Featuring Rihanna,2014-01-11,1
Timber,Pitbull Featuring Ke$ha,2014-01-11,2
Counting Stars,OneRepublic,2014-01-11,3
Royals,Lorde,2014-01-11,4
Say Something,A Great Big World &amp; Christina Aguilera,2014-01-11,5
Demons,Imagine Dragons,2014-01-11,6
Let Her Go,Passenger,2014-01-11,7
Roar,Katy Perry,2014-01-11,8
Story Of My Life,One Direction,2014-01-11,9
Wake Me Up!,Avicii,2014-01-11,10
Dark Horse,Katy Perry Featuring Juicy J,2014-01-11,11
Wrecking Ball,Miley Cyrus,2014-01-11,12
Burn,Ellie Goulding,2014-01-11,13
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa &amp; Juicy J",2014-01-11,14
"Hold On, We're Going Home",Drake Featuring Majid Jordan,2014-01-11,15
Sweater Weather,The Neighbourhood,2014-01-11,16
Drunk In Love,Beyonce Featuring Jay Z,2014-01-11,17
White Walls,Macklemore &amp; Ryan Lewis Featuring ScHoolboy Q &amp; Hollis,2014-01-11,18
Team,Lorde,2014-01-11,19
Unconditionally,Katy Perry,2014-01-11,20
Pompeii,Bastille,2014-01-11,21
Adore You,Miley Cyrus,2014-01-11,22
Do What U Want,Lady Gaga Featuring R. Kelly,2014-01-11,23
My Hitta,YG Featuring Jeezy &amp; Rich Homie Quan,2014-01-11,24
Radioactive,Imagine Dragons,2014-01-11,25
Applause,Lady Gaga,2014-01-11,26
Stay The Night,Zedd Featuring Hayley Williams,2014-01-11,27
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2014-01-11,28
Holy Grail,Jay Z Featuring Justin Timberlake,2014-01-11,29
Gas Pedal,Sage The Gemini Featuring IamSu!,2014-01-11,30
Stay,Florida Georgia Line,2014-01-11,31
Let It Go,Idina Menzel,2014-01-11,32
Rap God,Eminem,2014-01-11,33
That's My Kind Of Night,Luke Bryan,2014-01-11,34
Sail,AWOLNATION,2014-01-11,35
Brave,Sara Bareilles,2014-01-11,36
Drink A Beer,Luke Bryan,2014-01-11,37
Turn Down For What,DJ Snake &amp; Lil Jon,2014-01-11,38
Marry Me,Jason Derulo,2014-01-11,39
Replay,Zendaya,2014-01-11,40
All Me,Drake Featuring 2 Chainz &amp; Big Sean,2014-01-11,41
Show Me,Kid Ink Featuring Chris Brown,2014-01-11,42
Let It Go,Demi Lovato,2014-01-11,43
Love More,Chris Brown Featuring Nicki Minaj,2014-01-11,44
Safe And Sound,Capital Cities,2014-01-11,45
Whatever She's Got,David Nail,2014-01-11,46
Wasting All These Tears,Cassadee Pope,2014-01-11,47
Berzerk,Eminem,2014-01-11,48
It Won't Stop,Sevyn Streeter Featuring Chris Brown,2014-01-11,49
Carolina,Parmalee,2014-01-11,50
Chillin' It,Cole Swindell,2014-01-11,51
Best Day Of My Life,American Authors,2014-01-11,52
HeadBand,B.o.B Featuring 2 Chainz,2014-01-11,53
Best Song Ever,One Direction,2014-01-11,54
Animals,Martin Garrix,2014-01-11,55
Drunk Last Night,Eli Young Band,2014-01-11,56
When She Says Baby,Jason Aldean,2014-01-11,57
The Fox,Ylvis,2014-01-11,58
All That Matters,Justin Bieber,2014-01-11,59
TKO,Justin Timberlake,2014-01-11,60
Sweet Annie,Zac Brown Band,2014-01-11,61
Love Me Again,John Newman,2014-01-11,62
The Language,Drake,2014-01-11,63
Survival,Eminem,2014-01-11,64
Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn &amp; Katie Lopez",2014-01-11,65
Hey Brother,Avicii,2014-01-11,66
We Were Us,Keith Urban And Miranda Lambert,2014-01-11,67
All Of Me,John Legend,2014-01-11,68
Don't Let Me Be Lonely,The Band Perry,2014-01-11,69
Friday Night,Eric Paslay,2014-01-11,70
Alone Together,Fall Out Boy,2014-01-11,71
Compass,Lady Antebellum,2014-01-11,72
XO,Beyonce,2014-01-11,73
For The First Time In Forever,Kristen Bell &amp; Idina Menzel,2014-01-11,74
Radio,Darius Rucker,2014-01-11,75
I Luv This Sh*t,August Alsina Featuring Trinidad James,2014-01-11,76
Sunny And 75,Joe Nichols,2014-01-11,77
Up All Night,Jon Pardi,2014-01-11,78
See You Tonight,Scotty McCreery,2014-01-11,79
Bottoms Up,Brantley Gilbert,2014-01-11,80
Bounce It,Juicy J Featuring Wale &amp; Trey Songz,2014-01-11,81
Mine,Beyonce Featuring Drake,2014-01-11,82
Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,2014-01-11,83
Up Down (Do This All Day),T-Pain Featuring B.o.B,2014-01-11,84
Talk Dirty,Jason Derulo Featuring 2 Chainz,2014-01-11,85
Helluva Life,Frankie Ballard,2014-01-11,86
Waiting For Superman,Daughtry,2014-01-11,87
Heart Attack,Enrique Iglesias,2014-01-11,88
Gorilla,Bruno Mars,2014-01-11,89
Honest,Future,2014-01-11,90
Perfume,Britney Spears,2014-01-11,91
Do I Wanna Know?,Arctic Monkeys,2014-01-11,92
The Heart Of Dixie,Danielle Bradbery,2014-01-11,93
I Hold On,Dierks Bentley,2014-01-11,94
Worst Behavior,Drake,2014-01-11,95
Neon Lights,Demi Lovato,2014-01-11,96
Lolly,Maejor Ali Featuring Juicy J &amp; Justin Bieber,2014-01-11,97
Paranoid,Ty Dolla $ign Featuring B.o.B,2014-01-11,98
Bound 2,Kanye West,2014-01-11,99
Old School Love,Lupe Fiasco Featuring Ed Sheeran,2014-01-11,100
The Monster,Eminem Featuring Rihanna,2014-01-04,1
Timber,Pitbull Featuring Ke$ha,2014-01-04,2
Counting Stars,OneRepublic,2014-01-04,3
Say Something,A Great Big World &amp; Christina Aguilera,2014-01-04,4
Royals,Lorde,2014-01-04,5
Demons,Imagine Dragons,2014-01-04,6
Let Her Go,Passenger,2014-01-04,7
Wake Me Up!,Avicii,2014-01-04,8
Wrecking Ball,Miley Cyrus,2014-01-04,9
Story Of My Life,One Direction,2014-01-04,10
Roar,Katy Perry,2014-01-04,11
Drunk In Love,Beyonce Featuring Jay Z,2014-01-04,12
"Hold On, We're Going Home",Drake Featuring Majid Jordan,2014-01-04,13
Dark Horse,Katy Perry Featuring Juicy J,2014-01-04,14
Burn,Ellie Goulding,2014-01-04,15
Do What U Want,Lady Gaga Featuring R. Kelly,2014-01-04,16
Sweater Weather,The Neighbourhood,2014-01-04,17
Team,Lorde,2014-01-04,18
White Walls,Macklemore &amp; Ryan Lewis Featuring ScHoolboy Q &amp; Hollis,2014-01-04,19
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa &amp; Juicy J",2014-01-04,20
Pompeii,Bastille,2014-01-04,21
Stay The Night,Zedd Featuring Hayley Williams,2014-01-04,22
Unconditionally,Katy Perry,2014-01-04,23
My Hitta,YG Featuring Jeezy &amp; Rich Homie Quan,2014-01-04,24
Applause,Lady Gaga,2014-01-04,25
All I Want For Christmas Is You,Mariah Carey,2014-01-04,26
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2014-01-04,27
Holy Grail,Jay Z Featuring Justin Timberlake,2014-01-04,28
Show Me,Kid Ink Featuring Chris Brown,2014-01-04,29
Stay,Florida Georgia Line,2014-01-04,30
Radioactive,Imagine Dragons,2014-01-04,31
Love More,Chris Brown Featuring Nicki Minaj,2014-01-04,32
Gas Pedal,Sage The Gemini Featuring IamSu!,2014-01-04,33
Drink A Beer,Luke Bryan,2014-01-04,34
Brave,Sara Bareilles,2014-01-04,35
It Won't Stop,Sevyn Streeter Featuring Chris Brown,2014-01-04,36
All Me,Drake Featuring 2 Chainz &amp; Big Sean,2014-01-04,37
Rap God,Eminem,2014-01-04,38
Sail,AWOLNATION,2014-01-04,39
Whatever She's Got,David Nail,2014-01-04,40
Marry Me,Jason Derulo,2014-01-04,41
Safe And Sound,Capital Cities,2014-01-04,42
Drunk Last Night,Eli Young Band,2014-01-04,43
Best Day Of My Life,American Authors,2014-01-04,44
The Christmas Song (Merry Christmas To You),Nat King Cole,2014-01-04,45
Wasting All These Tears,Cassadee Pope,2014-01-04,46
Carolina,Parmalee,2014-01-04,47
Who You Love,John Mayer Featuring Katy Perry,2014-01-04,48
Replay,Zendaya,2014-01-04,49
Rockin' Around The Christmas Tree,Brenda Lee,2014-01-04,50
I Have Nothing,Tessanne Chin,2014-01-04,51
Sweet Annie,Zac Brown Band,2014-01-04,52
Chillin' It,Cole Swindell,2014-01-04,53
Let It Go,Idina Menzel,2014-01-04,54
All Of Me,John Legend,2014-01-04,55
That's My Kind Of Night,Luke Bryan,2014-01-04,56
When She Says Baby,Jason Aldean,2014-01-04,57
Bottoms Up,Brantley Gilbert,2014-01-04,58
Animals,Martin Garrix,2014-01-04,59
HeadBand,B.o.B Featuring 2 Chainz,2014-01-04,60
Let It Go,Demi Lovato,2014-01-04,61
Don't Let Me Be Lonely,The Band Perry,2014-01-04,62
Hey Brother,Avicii,2014-01-04,63
Little Drummer Boy,Pentatonix,2014-01-04,64
Friday Night,Eric Paslay,2014-01-04,65
XO,Beyonce,2014-01-04,66
Up All Night,Jon Pardi,2014-01-04,67
The Language,Drake,2014-01-04,68
Slow Down,Selena Gomez,2014-01-04,69
Love Me Again,John Newman,2014-01-04,70
Radio,Darius Rucker,2014-01-04,71
I Luv This Sh*t,August Alsina Featuring Trinidad James,2014-01-04,72
We Were Us,Keith Urban And Miranda Lambert,2014-01-04,73
TKO,Justin Timberlake,2014-01-04,74
Compass,Lady Antebellum,2014-01-04,75
Let It Be,Tessanne Chin &amp; Adam Levine,2014-01-04,76
Berzerk,Eminem,2014-01-04,77
Underneath The Tree,Kelly Clarkson,2014-01-04,78
Up Down (Do This All Day),T-Pain Featuring B.o.B,2014-01-04,79
Sunny And 75,Joe Nichols,2014-01-04,80
Alone Together,Fall Out Boy,2014-01-04,81
Best Song Ever,One Direction,2014-01-04,82
Do I Wanna Know?,Arctic Monkeys,2014-01-04,83
Helluva Life,Frankie Ballard,2014-01-04,84
All That Matters,Justin Bieber,2014-01-04,85
See You Tonight,Scotty McCreery,2014-01-04,86
Bound 2,Kanye West,2014-01-04,87
Honest,Future,2014-01-04,88
Talk Dirty,Jason Derulo Featuring 2 Chainz,2014-01-04,89
Perfume,Britney Spears,2014-01-04,90
Bounce It,Juicy J Featuring Wale &amp; Trey Songz,2014-01-04,91
Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,2014-01-04,92
Old School Love,Lupe Fiasco Featuring Ed Sheeran,2014-01-04,93
Worst Behavior,Drake,2014-01-04,94
Waiting For Superman,Daughtry,2014-01-04,95
Survival,Eminem,2014-01-04,96
Paranoid,Ty Dolla $ign Featuring B.o.B,2014-01-04,97
The Fox,Ylvis,2014-01-04,98
Mine,Beyonce Featuring Drake,2014-01-04,99
I Hold On,Dierks Bentley,2014-01-04,100
The Monster,Eminem Featuring Rihanna,2013-12-28,1
Timber,Pitbull Featuring Ke$ha,2013-12-28,2
Counting Stars,OneRepublic,2013-12-28,3
Say Something,A Great Big World &amp; Christina Aguilera,2013-12-28,4
Royals,Lorde,2013-12-28,5
Demons,Imagine Dragons,2013-12-28,6
Wake Me Up!,Avicii,2013-12-28,7
Wrecking Ball,Miley Cyrus,2013-12-28,8
Let Her Go,Passenger,2013-12-28,9
Story Of My Life,One Direction,2013-12-28,10
"Hold On, We're Going Home",Drake Featuring Majid Jordan,2013-12-28,11
Roar,Katy Perry,2013-12-28,12
Burn,Ellie Goulding,2013-12-28,13
Sweater Weather,The Neighbourhood,2013-12-28,14
White Walls,Macklemore &amp; Ryan Lewis Featuring ScHoolboy Q &amp; Hollis,2013-12-28,15
Do What U Want,Lady Gaga Featuring R. Kelly,2013-12-28,16
Unconditionally,Katy Perry,2013-12-28,17
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa &amp; Juicy J",2013-12-28,18
Stay The Night,Zedd Featuring Hayley Williams,2013-12-28,19
Applause,Lady Gaga,2013-12-28,20
My Hitta,YG Featuring Jeezy &amp; Rich Homie Quan,2013-12-28,21
Dark Horse,Katy Perry Featuring Juicy J,2013-12-28,22
Team,Lorde,2013-12-28,23
Pompeii,Bastille,2013-12-28,24
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2013-12-28,25
Marry Me,Jason Derulo,2013-12-28,26
All I Want For Christmas Is You,Mariah Carey,2013-12-28,27
Holy Grail,Jay Z Featuring Justin Timberlake,2013-12-28,28
Stay,Florida Georgia Line,2013-12-28,29
Radioactive,Imagine Dragons,2013-12-28,30
Love More,Chris Brown Featuring Nicki Minaj,2013-12-28,31
It Won't Stop,Sevyn Streeter Featuring Chris Brown,2013-12-28,32
Brave,Sara Bareilles,2013-12-28,33
Rap God,Eminem,2013-12-28,34
Best Day Of My Life,American Authors,2013-12-28,35
Carolina,Parmalee,2013-12-28,36
Drink A Beer,Luke Bryan,2013-12-28,37
Sail,AWOLNATION,2013-12-28,38
Show Me,Kid Ink Featuring Chris Brown,2013-12-28,39
All Me,Drake Featuring 2 Chainz &amp; Big Sean,2013-12-28,40
Confident,Justin Bieber Featuring Chance The Rapper,2013-12-28,41
Drunk Last Night,Eli Young Band,2013-12-28,42
Whatever She's Got,David Nail,2013-12-28,43
Gas Pedal,Sage The Gemini Featuring IamSu!,2013-12-28,44
Safe And Sound,Capital Cities,2013-12-28,45
Wasting All These Tears,Cassadee Pope,2013-12-28,46
Sweet Annie,Zac Brown Band,2013-12-28,47
Chillin' It,Cole Swindell,2013-12-28,48
Summertime Sadness,Lana Del Rey &amp; Cedric Gervais,2013-12-28,49
Slow Down,Selena Gomez,2013-12-28,50
Little Drummer Boy,Pentatonix,2013-12-28,51
All Of Me,John Legend,2013-12-28,52
That's My Kind Of Night,Luke Bryan,2013-12-28,53
Let It Go,Idina Menzel,2013-12-28,54
Saturday,Rebecca Black &amp; Dave Days,2013-12-28,55
Animals,Martin Garrix,2013-12-28,56
We Were Us,Keith Urban And Miranda Lambert,2013-12-28,57
Let It Go,Demi Lovato,2013-12-28,58
Don't Let Me Be Lonely,The Band Perry,2013-12-28,59
When She Says Baby,Jason Aldean,2013-12-28,60
TKO,Justin Timberlake,2013-12-28,61
Friday Night,Eric Paslay,2013-12-28,62
I Luv This Sh*t,August Alsina Featuring Trinidad James,2013-12-28,63
Bridge Over Troubled Water,Tessanne Chin,2013-12-28,64
Radio,Darius Rucker,2013-12-28,65
Hey Brother,Avicii,2013-12-28,66
Sunny And 75,Joe Nichols,2013-12-28,67
HeadBand,B.o.B Featuring 2 Chainz,2013-12-28,68
Replay,Zendaya,2013-12-28,69
The Language,Drake,2013-12-28,70
Up All Night,Jon Pardi,2013-12-28,71
Love Me Again,John Newman,2013-12-28,72
Compass,Lady Antebellum,2013-12-28,73
Mine Would Be You,Blake Shelton,2013-12-28,74
Cannonball,Lea Michele,2013-12-28,75
Bound 2,Kanye West,2013-12-28,76
Perfume,Britney Spears,2013-12-28,77
Berzerk,Eminem,2013-12-28,78
Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,2013-12-28,79
Underneath The Tree,Kelly Clarkson,2013-12-28,80
Honest,Future,2013-12-28,81
Up Down (Do This All Day),T-Pain Featuring B.o.B,2013-12-28,82
Alone Together,Fall Out Boy,2013-12-28,83
All That Matters,Justin Bieber,2013-12-28,84
The Man,Aloe Blacc,2013-12-28,85
See You Tonight,Scotty McCreery,2013-12-28,86
Angel,Jacquie Lee,2013-12-28,87
Helluva Life,Frankie Ballard,2013-12-28,88
My Story,R. Kelly Featuring 2 Chainz,2013-12-28,89
Bounce It,Juicy J Featuring Wale &amp; Trey Songz,2013-12-28,90
Do I Wanna Know?,Arctic Monkeys,2013-12-28,91
The Fox,Ylvis,2013-12-28,92
What Now,Rihanna,2013-12-28,93
Best Song Ever,One Direction,2013-12-28,94
Old School Love,Lupe Fiasco Featuring Ed Sheeran,2013-12-28,95
Survival,Eminem,2013-12-28,96
The Heart Of Dixie,Danielle Bradbery,2013-12-28,97
Pound Cake / Paris Morton Music 2,Drake Featuring JAY-Z,2013-12-28,98
V. 3005,Childish Gambino,2013-12-28,99
Right There,Ariana Grande Featuring Big Sean,2013-12-28,100
The Monster,Eminem Featuring Rihanna,2013-12-21,1
Timber,Pitbull Featuring Ke$ha,2013-12-21,2
Counting Stars,OneRepublic,2013-12-21,3
Royals,Lorde,2013-12-21,4
Wrecking Ball,Miley Cyrus,2013-12-21,5
Wake Me Up!,Avicii,2013-12-21,6
Demons,Imagine Dragons,2013-12-21,7
Say Something,A Great Big World &amp; Christina Aguilera,2013-12-21,8
Let Her Go,Passenger,2013-12-21,9
"Hold On, We're Going Home",Drake Featuring Majid Jordan,2013-12-21,10
Story Of My Life,One Direction,2013-12-21,11
Roar,Katy Perry,2013-12-21,12
Little Drummer Boy,Pentatonix,2013-12-21,13
Unconditionally,Katy Perry,2013-12-21,14
Sweater Weather,The Neighbourhood,2013-12-21,15
Burn,Ellie Goulding,2013-12-21,16
White Walls,Macklemore &amp; Ryan Lewis Featuring ScHoolboy Q &amp; Hollis,2013-12-21,17
Do What U Want,Lady Gaga Featuring R. Kelly,2013-12-21,18
Applause,Lady Gaga,2013-12-21,19
Stay The Night,Zedd Featuring Hayley Williams,2013-12-21,20
23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa &amp; Juicy J",2013-12-21,21
Holy Grail,Jay Z Featuring Justin Timberlake,2013-12-21,22
My Hitta,YG Featuring Jeezy &amp; Rich Homie Quan,2013-12-21,23
Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2013-12-21,24
Radioactive,Imagine Dragons,2013-12-21,25
All I Want For Christmas Is You,Mariah Carey,2013-12-21,26
Love More,Chris Brown Featuring Nicki Minaj,2013-12-21,27
Stay,Florida Georgia Line,2013-12-21,28
Pompeii,Bastille,2013-12-21,29
It Won't Stop,Sevyn Streeter Featuring Chris Brown,2013-12-21,30
Brave,Sara Bareilles,2013-12-21,31
Team,Lorde,2013-12-21,32
Marry Me,Jason Derulo,2013-12-21,33
Safe And Sound,Capital Cities,2013-12-21,34
Sail,AWOLNATION,2013-12-21,35
Dark Horse,Katy Perry Featuring Juicy J,2013-12-21,36
All Me,Drake Featuring 2 Chainz &amp; Big Sean,2013-12-21,37
Slow Down,Selena Gomez,2013-12-21,38
Rap God,Eminem,2013-12-21,39
Drink A Beer,Luke Bryan,2013-12-21,40
Drunk Last Night,Eli Young Band,2013-12-21,41
We Were Us,Keith Urban And Miranda Lambert,2013-12-21,42
Carolina,Parmalee,2013-12-21,43
Summertime Sadness,Lana Del Rey &amp; Cedric Gervais,2013-12-21,44
Gas Pedal,Sage The Gemini Featuring IamSu!,2013-12-21,45
Whatever She's Got,David Nail,2013-12-21,46
TKO,Justin Timberlake,2013-12-21,47
Show Me,Kid Ink Featuring Chris Brown,2013-12-21,48
Sunny And 75,Joe Nichols,2013-12-21,49
That's My Kind Of Night,Luke Bryan,2013-12-21,50
Animals,Martin Garrix,2013-12-21,51
Wasting All These Tears,Cassadee Pope,2013-12-21,52
All That Matters,Justin Bieber,2013-12-21,53
Chillin' It,Cole Swindell,2013-12-21,54
Sweet Annie,Zac Brown Band,2013-12-21,55
All Of Me,John Legend,2013-12-21,56
Let It Go,Idina Menzel,2013-12-21,57
Let It Go,Demi Lovato,2013-12-21,58
Change Me,Justin Bieber,2013-12-21,59
Bound 2,Kanye West,2013-12-21,60
I Luv This Sh*t,August Alsina Featuring Trinidad James,2013-12-21,61
Friday Night,Eric Paslay,2013-12-21,62
Mine Would Be You,Blake Shelton,2013-12-21,63
Best Day Of My Life,American Authors,2013-12-21,64
Don't Let Me Be Lonely,The Band Perry,2013-12-21,65
Radio,Darius Rucker,2013-12-21,66
Replay,Zendaya,2013-12-21,67
HeadBand,B.o.B Featuring 2 Chainz,2013-12-21,68
Beware,Big Sean Featuring Lil Wayne &amp; Jhene Aiko,2013-12-21,69
When She Says Baby,Jason Aldean,2013-12-21,70
Love Me Again,John Newman,2013-12-21,71
The Language,Drake,2013-12-21,72
Berzerk,Eminem,2013-12-21,73
Up All Night,Jon Pardi,2013-12-21,74
Work B**ch!,Britney Spears,2013-12-21,75
